ticker,nome
KNRI11.SA,FII KINEA   
KROT3.SA,KROTON      
LAME1.SA,LOJAS AMERIC
LAME2.SA,LOJAS AMERIC
LAME3.SA,LOJAS AMERIC
LAME4.SA,LOJAS AMERIC
LATR11B.SA,FII LATERES 
LBRD34.SA,LIBERTY BROA
LBRN34.SA,L BRANDS    
LCAM3.SA,LOCAMERICA  
LEVE3.SA,METAL LEVE  
LGCP11.SA,FII LGCP INT
LIGT3.SA,LIGHT S/A   
LILY34.SA,LILLY       
LINX3.SA,LINX        
LIPR3.SA,ELETROPAR   
LIQO3.SA,LIQ         
LLIS3.SA,LE LIS BLANC
LMTB34.SA,LOCKHEED    
LOFT11B.SA,FII LOFT I  
LOGG1.SA,LOG COM PROP
LOGG3.SA,LOG COM PROP
LOGN12.SA,LOG-IN      
LOGN3.SA,LOG-IN      
LOWC34.SA,LOWES COMPA 
LPSB3.SA,LOPES BRASIL
LREN3.SA,LOJAS RENNER
LSXM34.SA,LIBERTY MEDI
LUGG11.SA,FII LUGGO   
LUPA1.SA,LUPATECH    
LUPA3.SA,LUPATECH    
LUPA9.SA,LUPATECH    
LUXM4.SA,TREVISA     
LVBI11.SA,FII VBI LOG 
LVBI13.SA,FII VBI LOG 
MACY34.SA,MACY S      
MAGG3.SA,MAGNESITA SA
MALL11.SA,FII MALLS BP
MALL12.SA,FII MALLS BP
MAPT3.SA,CEMEPE      
MAPT4.SA,CEMEPE      
MATB11.SA,IT NOW IMAT 
MAXR11.SA,FII MAX RET 
MBRF11.SA,FII MERC BR 
MCCI11.SA,FII MAUA    
MCDC34.SA,MCDONALDS   
MCOR34.SA,MOODYS CORP 
MDIA3.SA,M.DIASBRANCO
MDLZ34.SA,MONDELEZ INT
MDTC34.SA,MEDTRONIC   
MEAL3.SA,IMC S/A     
MELI34.SA,MERCADOLIBRE
MEND5.SA,MENDES JR   
MEND6.SA,MENDES JR   
MERC3.SA,MERC FINANC 
MERC4.SA,MERC FINANC 
METB34.SA,METLIFE INC 
MFII11.SA,FII MERITO I
MGEL4.SA,MANGELS INDL
MGFF11.SA,FII MOGNO   
MGFF12.SA,FII MOGNO   
MGLU3.SA,MAGAZ LUIZA 
MILS3.SA,MILLS       
MKLC34.SA,MARKEL CORP 
MMMC34.SA,3M          
MMXM11.SA,MMX MINER   
MMXM3.SA,MMX MINER   
MNDL3.SA,MUNDIAL     
MNPR3.SA,MINUPAR     
MOAR3.SA,MONT ARANHA 
MOOO34.SA,ALTRIA GROUP
MOSC34.SA,MOSAIC CO   
MOVI3.SA,MOVIDA      
MPLU3.SA,MULTIPLUS   
MRCK34.SA,MERCK       
MRFG3.SA,MARFRIG     
MRSA3B.SA,MRS LOGIST  
MRSA5B.SA,MRS LOGIST  
MRSA6B.SA,MRS LOGIST  
MRVE3.SA,MRV         
MSBR34.SA,MORGAN STAN 
MSCD34.SA,MASTERCARD  
MSFT34.SA,MICROSOFT   
MSPA3.SA,MELHOR SP   
MSPA4.SA,MELHOR SP   
MTIG4.SA,METAL IGUACU
MTSA3.SA,METISA      
MTSA4.SA,METISA      
MULT3.SA,MULTIPLAN   
MUTC34.SA,MICRON TECHN
MWET3.SA,WETZEL S/A  
MWET4.SA,WETZEL S/A  
MXRF11.SA,FII MAXI REN
MXRF12.SA,FII MAXI REN
MYPK11.SA,IOCHP-MAXION
MYPK12.SA,IOCHP-MAXION
MYPK3.SA,IOCHP-MAXION
NAFG3.SA,NADIR FIGUEI
NAFG4.SA,NADIR FIGUEI
NATU3.SA,NATURA      
NEOE3.SA,NEOENERGIA  
NEOE3B.SA,NEOENERGIA  
NETE34.SA,NETEASE     
NEWL11.SA,FII NEWPORT 
NEXT34.SA,NEXTERA ENER
NFLX34.SA,NETFLIX     
NIKE34.SA,NIKE        
NMRH34.SA,NOMURA HO   
NOCG34.SA,NORTHROP GRU
NOKI34.SA,NOKIA CORP  
NORD3.SA,NORDON MET  
NPAR11.SA,FII NESTPAR 
NSLU11.SA,FII LOURDES 
NTCO3.SA,GRUPO NATURA
NUTR3.SA,NUTRIPLANT  
